Match Number,Round Number,Date,Location,Home Team,Away Team,Result
457,34,21/09/2025 00:30,Q2 Stadium,ATX,SEA,
458,34,21/09/2025 00:30,Toyota Stadium,DAL,COL,
459,34,21/09/2025 00:30,Shell Energy Stadium,HOU,POR,
460,34,21/09/2025 00:30,Children's Mercy Park,SKC,VAN,
461,34,21/09/2025 00:30,Allianz Field,MIN,CHI,
462,34,21/09/2025 02:30,Dignity Health Sports Park,LA,CIN,
463,34,21/09/2025 02:30,PayPal Park,SJ,STL,
464,34,22/09/2025 01:00,BMO Stadium,LAFC,RSL,
465,35,24/09/2025 23:30,Citi Field,NYC,MIA,
247,35,25/09/2025 02:30,BC Place,VAN,POR,
466,36,27/09/2025 18:30,TQL Stadium,CIN,ORL,
467,36,27/09/2025 20:30,BMO Field,TOR,MIA,
468,36,27/09/2025 23:30,Bank of America Stadium,CLT,MTL,
469,36,27/09/2025 23:30,Audi Field,DC,PHI,
470,36,27/09/2025 23:30,Gillette Stadium,NE,ATL,
471,36,27/09/2025 23:30,Sports Illustrated Stadium,RBNY,NYC,
472,36,28/09/2025 00:30,Soldier Field,CHI,CLB,
473,36,28/09/2025 00:30,GEODIS Park,NSH,HOU,
474,36,28/09/2025 00:30,Energizer Park,STL,LAFC,
475,36,28/09/2025 01:30,Dick's Sporting Goods Park,COL,MIN,
476,36,28/09/2025 01:30,America First Field,RSL,ATX,
477,36,28/09/2025 02:30,Dignity Health Sports Park,LA,SKC,
478,36,28/09/2025 02:30,Providence Park,POR,DAL,
479,36,28/09/2025 02:30,Snapdragon Stadium,SD,SJ,
480,36,28/09/2025 02:30,Lumen Field,SEA,VAN,
481,37,04/10/2025 18:30,Audi Field,DC,CLT,
484,37,04/10/2025 18:30,Stade Saputo,MTL,NSH,
482,37,04/10/2025 20:30,Toyota Stadium,DAL,LA,
483,37,04/10/2025 23:30,Chase Stadium,MIA,NE,
485,37,04/10/2025 23:30,Sports Illustrated Stadium,RBNY,CIN,
486,37,04/10/2025 23:30,Inter&Co Stadium,ORL,CLB,
487,37,04/10/2025 23:30,Subaru Park,PHI,NYC,
488,37,05/10/2025 00:30,Q2 Stadium,ATX,STL,
489,37,05/10/2025 00:30,Soldier Field,CHI,TOR,
490,37,05/10/2025 00:30,Shell Energy Stadium,HOU,SD,
491,37,05/10/2025 00:30,Allianz Field,MIN,SKC,
492,37,05/10/2025 01:30,America First Field,RSL,COL,
493,37,05/10/2025 02:30,Lumen Field,SEA,POR,
494,37,06/10/2025 01:00,BC Place,VAN,SJ,
495,37,06/10/2025 02:30,BMO Stadium,LAFC,ATL,
496,38,18/10/2025 22:00,Mercedes-Benz Stadium,ATL,DC,
497,38,18/10/2025 22:00,Bank of America Stadium,CLT,PHI,
498,38,18/10/2025 22:00,TQL Stadium,CIN,MTL,
499,38,18/10/2025 22:00,Lower.com Field,CLB,RBNY,
500,38,18/10/2025 22:00,GEODIS Park,NSH,MIA,
501,38,18/10/2025 22:00,Gillette Stadium,NE,CHI,
502,38,18/10/2025 22:00,TBC,NYC,SEA,
503,38,18/10/2025 22:00,BMO Field,TOR,ORL,
504,38,19/10/2025 01:00,Dick's Sporting Goods Park,COL,LAFC,
505,38,19/10/2025 01:00,Children's Mercy Park,SKC,HOU,
506,38,19/10/2025 01:00,Dignity Health Sports Park,LA,MIN,
507,38,19/10/2025 01:00,Providence Park,POR,SD,
508,38,19/10/2025 01:00,PayPal Park,SJ,ATX,
509,38,19/10/2025 01:00,Energizer Park,STL,RSL,
510,38,19/10/2025 01:00,BC Place,VAN,DAL,
